id,displayName,postalCode,address1,city,country,state,intersection,phonePharmacy,phone,latitude,longitude,timezone,openDate,licenceNumber,businessAddr,pharmacyManager,email,website
1029,"STOUFFVILLE, ON",L4A 0K2,1050 Hoover Pk Dr,Stouffville,CA,ON,Highway 48 & Hoover Park Dr,905-640-9533,905-640-8848,43.955905,-79.274456,EST,11/08/2006 00:00,300943,"1050 HOOVER PARK DRIVE, STOUFFVILLE, ON L4A 0G9",Amin Hirji,,
3653,"UXBRIDGE, ONTARIO",L9P 1Z7,6 Welwood Dr,Uxbridge,CA,ON,Hwy 47 & Welwood Rd,905-862-0735,905-862-0721,44.088681,-79.134093,EST,01/30/2003 00:00,40636,"6 WELWOOD RD., UXBRIDGE, ON L9P 1Y4",Eni Rambi,,
5778,"AURORA, ON",L4G 0G2,135 First Commerce Dr,Aurora,CA,ON,Hwy. 404 & Wellington St.,905-713-6718,905-841-0300,44.014961,-79.411751,EST,01/17/2008 00:00,301268,"135 FIRST COMMERCE DRIVE, AURORA, ON L4G 0G2",Robert Tran,,
1012,KESWICK,L4P 0E2,23550 Woodbine Ave,Keswick,CA,ON,Glenwoods Ave. & Woodbine Ave.,,905-476-1729,44.219675,-79.448091,EST,10/01/2010 00:00,302079,"23550 WOODBINE AVENUE, KESWICK, ON L4P 3E9",Dieu Ly,,
1023,"PARRY SOUND, ON",P2A 3C3,1 Pine Dr,Parry Sound,CA,ON,Highway 69 & Bowes Street,,705-746-1573,45.343925,-80.010183,EST,01/25/2005 00:00,300437,"1 PINE DRIVE, PARRY SOUND, ON P2A 3C3",Sushma Mashru,,
1039,"COLLINGWOOD, ON",L9Y 0A1,10 Cambridge St,Collingwood,CA,ON,First St Extention & High St,,705-445-9262,44.500853,-80.23782,EST,01/19/2006 00:00,300702,"10 CAMBRIDGE STREET, COLLINGWOOD, ON L9Y 0A1",Alex Aitken,,
1041,"NAPANEE, ON",K7R 3L1,89 Jim Kimmett Blvd,Napanee,CA,ON,Highway 401 & Centre St North,,613-354-3100,44.2584,-76.9614,EST,01/19/2006 00:00,300701,"89 JIM KIMMETT BOULEVARD. NAPANEE, ON K7R 3L1",Pawanpreet Duggal,,
1042,HAMILTON SE,L0R 1P0,2190 Rymal Rd E,Hannon,CA,ON,Rymal Road & Swayze Road,,905-692-7000,43.173251,-79.783957,EST,01/26/2006 00:00,300703,"2190 RYMAL ROAD EAST, HAMILTON, ON L0R 1P0",Mohammad Kabir,,
1054,"BRACEBRIDGE, ON",P1L 0H1,40 Depot Dr Rr7,Bracebridge,CA,ON,HIGHWAY 11 & TAYLOR ROAD,705-646-9787,705-646-0550,45.049001,-79.292123,EST,09/19/2007 00:00,301140,"40 DEPORT DRIVE, BRACEBRIDGE, ON P1L 0A1",Earl MacNight,,
1056,"OSHAWA EAST, ON",L1J 0B5,680 Laval Dr,Oshawa,CA,ON,Highway 401 & Stevenson Road,905-404-1843,905-438-1400,43.880332,-78.88224,EST,01/17/2008 00:00,301269,"680 LAVAL DRIVE, OSHAWA, ON L1J 0B5",Dhrupadkumar Patel,,
